links	date_c
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/068.html	5/5/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/069.html	5/6/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/070.html	5/7/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/071.html	5/8/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/072.html	5/11/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/073.html	5/12/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/074.html	5/13/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/075.html	5/14/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/076.html	5/15/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/077.html	5/18/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/078.html	5/19/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/079.html	5/20/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/080.html	5/21/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/081.html	5/22/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/082.html	5/26/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/083.html	5/27/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/084.html	5/28/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/085.html	5/29/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/086.html	6/1/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/087.html	6/2/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/088.html	6/3/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/089.html	6/5/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/090.html	6/8/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/092.html	6/9/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/092.html	6/10/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/093.html	6/11/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/094.html	6/18/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/095.html	6/19/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/096.html	6/22/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9206/097.html	6/24/92
